"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.38","49.96","KELOWNA","1123939","2023-01-01","2023","01","01","","1.8","","-2.6","","-0.4","","18.4","","0.0","","","","","","0.0","","","","35","","32",""
"-119.38","49.96","KELOWNA","1123939","2023-01-02","2023","01","02","","0.3","","-5.5","","-2.6","","20.6","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2023-01-03","2023","01","03","","0.3","","-3.4","","-1.6","","19.6","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2023-01-04","2023","01","04","","0.5","","-6.2","","-2.9","","20.9","","0.0","","","","","","0.0","","","","35","","37",""
"-119.38","49.96","KELOWNA","1123939","2023-01-05","2023","01","05","","0.9","","-5.1","","-2.1","","20.1","","0.0","","","","","","0.0","","","","35","","35",""
"-119.38","49.96","KELOWNA","1123939","2023-01-06","2023","01","06","","4.9","","-8.4","","-1.8","","19.8","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2023-01-07","2023","01","07","","2.9","","-1.8","","0.6","","17.4","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2023-01-08","2023","01","08","","2.2","","0.0","","1.1","","16.9","","0.0","","","","","","1.3","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2023-01-09","2023","01","09","","1.9","","-2.6","","-0.4","","18.4","","0.0","","","","","","0.0","","","","34","","32",""
"-119.38","49.96","KELOWNA","1123939","2023-01-10","2023","01","10","","3.7","","-2.2","","0.8","","17.2","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2023-01-11","2023","01","11","","1.1","","-3.0","","-1.0","","19.0","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2023-01-12","2023","01","12","","2.6","","-0.6","","1.0","","17.0","","0.0","","","","","","2.1","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2023-01-13","2023","01","13","","2.6","","0.6","","1.6","","16.4","","0.0","","","","","","5.8","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2023-01-14","2023","01","14","","3.1","","0.2","","1.7","","16.3","","0.0","","","","","","0.2","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2023-01-15","2023","01","15","","3.0","","0.5","","1.8","","16.2","","0.0","","","","","","0.0","","","","","M","","M"
