"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.38","49.96","KELOWNA","1123939","2022-01-01","2022","01","01","","-10.2","","-24.7","","-17.5","","35.5","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-01-02","2022","01","02","","-7.0","","-18.5","","-12.8","","30.8","","0.0","","","","","","0.2","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-01-03","2022","01","03","","0.1","","-7.5","","-3.7","","21.7","","0.0","","","","","","0.2","","","","27","","33",""
"-119.38","49.96","KELOWNA","1123939","2022-01-04","2022","01","04","","-2.0","","-8.7","","-5.4","","23.4","","0.0","","","","","","0.0","","","","35","","35",""
"-119.38","49.96","KELOWNA","1123939","2022-01-05","2022","01","05","","-8.7","","-13.8","","-11.3","","29.3","","0.0","","","","","","0.0","","","","35","","42",""
"-119.38","49.96","KELOWNA","1123939","2022-01-06","2022","01","06","","-8.3","","-13.9","","-11.1","","29.1","","0.0","","","","","","4.8","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-01-07","2022","01","07","","-1.3","","-8.6","","-5.0","","23.0","","0.0","","","","","","0.2","","","","34","","50",""
"-119.38","49.96","KELOWNA","1123939","2022-01-08","2022","01","08","","-3.5","","-14.9","","-9.2","","27.2","","0.0","","","","","","0.2","","","","35","","55",""
"-119.38","49.96","KELOWNA","1123939","2022-01-09","2022","01","09","","0.3","","-10.2","","-5.0","","23.0","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-01-10","2022","01","10","","0.3","","-11.4","","-5.6","","23.6","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-01-11","2022","01","11","","2.9","","-2.8","","0.1","","17.9","","0.0","","","","","","3.7","","","","17","","37",""
"-119.38","49.96","KELOWNA","1123939","2022-01-12","2022","01","12","","3.3","","0.8","","2.1","","15.9","","0.0","","","","","","7.6","","","","16","","33",""
"-119.38","49.96","KELOWNA","1123939","2022-01-13","2022","01","13","","3.6","","0.8","","2.2","","15.8","","0.0","","","","","","0.0","","","","34","","35",""
"-119.38","49.96","KELOWNA","1123939","2022-01-14","2022","01","14","","2.8","","0.5","","1.7","","16.3","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-01-15","2022","01","15","","4.7","","1.4","","3.1","","14.9","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-01-16","2022","01","16","","2.6","","1.6","","2.1","","15.9","","0.0","","","","","","0.0","","","","18","","33",""
"-119.38","49.96","KELOWNA","1123939","2022-01-17","2022","01","17","","2.2","","0.4","","1.3","","16.7","","0.0","","","","","","0.0","","","","17","","45",""
"-119.38","49.96","KELOWNA","1123939","2022-01-18","2022","01","18","","2.0","","-2.0","","0.0","","18.0","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-01-19","2022","01","19","","0.8","","-2.0","","-0.6","","18.6","","0.0","","","","","","1.0","","","","34","","33",""
"-119.38","49.96","KELOWNA","1123939","2022-01-20","2022","01","20","","3.9","","-0.5","","1.7","","16.3","","0.0","","","","","","6.6","","","","20","","33",""
"-119.38","49.96","KELOWNA","1123939","2022-01-21","2022","01","21","","11.2","","-6.5","","2.4","","15.6","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-01-22","2022","01","22","","-1.1","","-5.3","","-3.2","","21.2","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-01-23","2022","01","23","","-0.9","","-2.5","","-1.7","","19.7","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-01-24","2022","01","24","","0.4","","-5.9","","-2.8","","20.8","","0.0","","","","","","0.0","","","","35","","32",""
"-119.38","49.96","KELOWNA","1123939","2022-01-25","2022","01","25","","-1.1","","-2.2","","-1.7","","19.7","","0.0","","","","","","0.0","","","","19","","35",""
"-119.38","49.96","KELOWNA","1123939","2022-01-26","2022","01","26","","-1.3","","-2.9","","-2.1","","20.1","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-01-27","2022","01","27","","-2.1","","-4.3","","-3.2","","21.2","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-01-28","2022","01","28","","-0.2","","-4.9","","-2.6","","20.6","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-01-29","2022","01","29","","-0.8","","-4.6","","-2.7","","20.7","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-01-30","2022","01","30","","0.1","","-2.4","","-1.2","","19.2","","0.0","","","","","","0.0","","","","21","","41",""
"-119.38","49.96","KELOWNA","1123939","2022-01-31","2022","01","31","","3.4","","-5.2","","-0.9","","18.9","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-02-01","2022","02","01","","2.0","","-9.3","","-3.7","","21.7","","0.0","","","","","","0.0","","","","36","","54",""
"-119.38","49.96","KELOWNA","1123939","2022-02-02","2022","02","02","","-6.4","","-15.9","","-11.2","","29.2","","0.0","","","","","","0.5","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-02-03","2022","02","03","","-1.4","","-7.0","","-4.2","","22.2","","0.0","","","","","","0.2","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-02-04","2022","02","04","","1.8","","-2.6","","-0.4","","18.4","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-02-05","2022","02","05","","3.9","","-3.6","","0.2","","17.8","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-02-06","2022","02","06","","4.2","","-2.6","","0.8","","17.2","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-02-07","2022","02","07","","10.7","","-4.1","","3.3","","14.7","","0.0","","","","","","0.0","","","","15","","58",""
"-119.38","49.96","KELOWNA","1123939","2022-02-08","2022","02","08","","5.9","","-1.1","","2.4","","15.6","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-02-09","2022","02","09","","5.6","","-0.1","","2.8","","15.2","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-02-10","2022","02","10","","6.6","","-3.7","","1.5","","16.5","","0.0","","","","","","0.0","","","","34","","37",""
"-119.38","49.96","KELOWNA","1123939","2022-02-11","2022","02","11","","8.1","","-7.3","","0.4","","17.6","","0.0","","","","","","0.0","","","","34","","32",""
"-119.38","49.96","KELOWNA","1123939","2022-02-12","2022","02","12","","3.3","","-9.3","","-3.0","","21.0","","0.0","","","","","","0.0","","","","34","","35",""
"-119.38","49.96","KELOWNA","1123939","2022-02-13","2022","02","13","","4.3","","-8.1","","-1.9","","19.9","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-02-14","2022","02","14","","2.0","","-1.7","","0.2","","17.8","","0.0","","","","","","0.2","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-02-15","2022","02","15","","9.3","","-5.1","","2.1","","15.9","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-02-16","2022","02","16","","8.5","","-3.7","","2.4","","15.6","","0.0","","","","","","0.0","","","","35","","33",""
"-119.38","49.96","KELOWNA","1123939","2022-02-17","2022","02","17","","9.6","","-4.3","","2.7","","15.3","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-02-18","2022","02","18","","12.2","","-0.5","","5.9","","12.1","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-02-19","2022","02","19","","10.3","","-0.3","","5.0","","13.0","","0.0","","","","","","0.0","","","","22","","65",""
"-119.38","49.96","KELOWNA","1123939","2022-02-20","2022","02","20","","6.5","","-2.2","","2.2","","15.8","","0.0","","","","","","1.2","","","","34","","48",""
"-119.38","49.96","KELOWNA","1123939","2022-02-21","2022","02","21","","-0.1","","-7.2","","-3.7","","21.7","","0.0","","","","","","0.0","","","","36","","50",""
"-119.38","49.96","KELOWNA","1123939","2022-02-22","2022","02","22","","-3.8","","-12.3","","-8.1","","26.1","","0.0","","","","","","0.0","","","","35","","52",""
"-119.38","49.96","KELOWNA","1123939","2022-02-23","2022","02","23","","-6.5","","-16.1","","-11.3","","29.3","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-02-24","2022","02","24","","-2.1","","-14.6","","-8.4","","26.4","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-02-25","2022","02","25","","0.0","","-12.5","","-6.3","","24.3","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-02-26","2022","02","26","","2.6","","-5.1","","-1.3","","19.3","","0.0","","","","","","0.0","","","","20","","32",""
"-119.38","49.96","KELOWNA","1123939","2022-02-27","2022","02","27","","6.2","","-1.5","","2.4","","15.6","","0.0","","","","","","0.0","","","","25","","37",""
"-119.38","49.96","KELOWNA","1123939","2022-02-28","2022","02","28","","3.7","","0.1","","1.9","","16.1","","0.0","","","","","","11.9","","","","34","","33",""
"-119.38","49.96","KELOWNA","1123939","2022-03-01","2022","03","01","","9.4","","0.8","","5.1","","12.9","","0.0","","","","","","0.2","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-03-02","2022","03","02","","6.6","","-1.1","","2.8","","15.2","","0.0","","","","","","3.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-03-03","2022","03","03","","8.5","","1.5","","5.0","","13.0","","0.0","","","","","","1.5","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-03-04","2022","03","04","","8.7","","-2.0","","3.4","","14.6","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-03-05","2022","03","05","","9.4","","-5.9","","1.8","","16.2","","0.0","","","","","","0.0","","","","34","","32",""
"-119.38","49.96","KELOWNA","1123939","2022-03-06","2022","03","06","","9.9","","-6.1","","1.9","","16.1","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-03-07","2022","03","07","","11.6","","-0.9","","5.4","","12.6","","0.0","","","","","","0.0","","","","33","","35",""
"-119.38","49.96","KELOWNA","1123939","2022-03-08","2022","03","08","","7.0","","-1.0","","3.0","","15.0","","0.0","","","","","","0.0","","","","34","","48",""
"-119.38","49.96","KELOWNA","1123939","2022-03-09","2022","03","09","","3.0","","-9.7","","-3.4","","21.4","","0.0","","","","","","0.0","","","","35","","39",""
"-119.38","49.96","KELOWNA","1123939","2022-03-10","2022","03","10","","4.3","","-8.9","","-2.3","","20.3","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-03-11","2022","03","11","","3.6","","-3.5","","0.1","","17.9","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-03-12","2022","03","12","","5.7","","1.1","","3.4","","14.6","","0.0","","","","","","0.2","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-03-13","2022","03","13","","13.3","","2.0","","7.7","","10.3","","0.0","","","","","","0.0","","","","35","","32",""
"-119.38","49.96","KELOWNA","1123939","2022-03-14","2022","03","14","","13.5","","5.0","","9.3","","8.7","","0.0","","","","","","2.0","","","","26","","42",""
"-119.38","49.96","KELOWNA","1123939","2022-03-15","2022","03","15","","14.1","","0.3","","7.2","","10.8","","0.0","","","","","","0.0","","","","24","","46",""
"-119.38","49.96","KELOWNA","1123939","2022-03-16","2022","03","16","","13.4","","-1.2","","6.1","","11.9","","0.0","","","","","","0.0","","","","23","","46",""
"-119.38","49.96","KELOWNA","1123939","2022-03-17","2022","03","17","","7.3","","-1.7","","2.8","","15.2","","0.0","","","","","","0.2","","","","34","","32",""
"-119.38","49.96","KELOWNA","1123939","2022-03-18","2022","03","18","","10.8","","-2.3","","4.3","","13.7","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-03-19","2022","03","19","","11.2","","2.2","","6.7","","11.3","","0.0","","","","","","2.1","","","","26","","50",""
"-119.38","49.96","KELOWNA","1123939","2022-03-20","2022","03","20","","10.2","","0.8","","5.5","","12.5","","0.0","","","","","","0.0","","","","25","","50",""
"-119.38","49.96","KELOWNA","1123939","2022-03-21","2022","03","21","","13.5","","3.0","","8.3","","9.7","","0.0","","","","","","0.0","","","","25","","39",""
"-119.38","49.96","KELOWNA","1123939","2022-03-22","2022","03","22","","11.1","","4.8","","8.0","","10.0","","0.0","","","","","","4.4","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-03-23","2022","03","23","","15.5","","3.2","","9.4","","8.6","","0.0","","","","","","0.8","","","","23","","42",""
"-119.38","49.96","KELOWNA","1123939","2022-03-24","2022","03","24","","11.7","","-2.1","","4.8","","13.2","","0.0","","","","","","0.0","","","","34","","46",""
"-119.38","49.96","KELOWNA","1123939","2022-03-25","2022","03","25","","13.3","","-0.1","","6.6","","11.4","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2022-03-26","2022","03","26","","14.6","","2.3","","8.5","","9.5","","0.0","","","","","","0.0","","","","35","","45",""
"-119.38","49.96","KELOWNA","1123939","2022-03-27","2022","03","27","","13.4","","4.1","","8.8","","9.2","","0.0","","","","","","0.0","","","","34","","32",""
"-119.38","49.96","KELOWNA","1123939","2022-03-28","2022","03","28","","14.6","","0.8","","7.7","","10.3","","0.0","","","","","","0.9","","","","35","","55",""
"-119.38","49.96","KELOWNA","1123939","2022-03-29","2022","03","29","","15.1","","-3.2","","6.0","","12.0","","0.0","","","","","","0.0","","","","34","","32",""
