"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.38","49.96","KELOWNA","1123939","2015-01-01","2015","01","01","","-3.5","","-8.5","","-6.0","","24.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2015-01-02","2015","01","02","","-3.1","","-4.6","","-3.9","","21.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2015-01-03","2015","01","03","","-2.3","","-7.6","","-5.0","","23.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2015-01-04","2015","01","04","","-3.3","","-7.1","","-5.2","","23.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2015-01-05","2015","01","05","","-2.5","","-6.6","","-4.6","","22.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2015-01-06","2015","01","06","","2.5","","-2.6","","-0.1","","18.1","","0.0","","","M","","M","3.3","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2015-01-07","2015","01","07","","1.8","","-0.5","","0.7","","17.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2015-01-08","2015","01","08","","1.7","","0.4","","1.1","","16.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2015-01-09","2015","01","09","","1.6","","0.0","","0.8","","17.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2015-01-10","2015","01","10","","1.3","","-0.4","","0.5","","17.5","","0.0","","","M","","M","","M","","","","","<31",""
