"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.38","49.96","KELOWNA","1123939","2010-01-01","2010","01","01","","3.2","","-6.8","","-1.8","","19.8","","0.0","","","M","","M","0.5","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-02","2010","01","02","","3.8","","1.0","","2.4","","15.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-03","2010","01","03","","3.5","","0.3","","1.9","","16.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-04","2010","01","04","","0.8","","-0.2","","0.3","","17.7","","0.0","","","M","","M","8.8","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-05","2010","01","05","","1.6","","-6.2","","-2.3","","20.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-06","2010","01","06","","-2.9","","-13.0","","-8.0","","26.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-07","2010","01","07","","-4.7","","-14.0","","-9.4","","27.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-08","2010","01","08","","-1.5","","-9.6","","-5.6","","23.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-09","2010","01","09","","1.6","","-2.6","","-0.5","","18.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-10","2010","01","10","","2.3","","-1.5","","0.4","","17.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-11","2010","01","11","","5.4","","0.9","","3.2","","14.8","","0.0","","","M","","M","0.8","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-12","2010","01","12","","","M","-0.6","E","","M","","M","","M","","M","","M","2.3","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-13","2010","01","13","","3.5","","0.9","","2.2","","15.8","","0.0","","","M","","M","6.4","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-14","2010","01","14","","5.5","","1.3","","3.4","","14.6","","0.0","","","M","","M","0.0","","","","","M","39",""
"-119.38","49.96","KELOWNA","1123939","2010-01-15","2010","01","15","","7.9","","0.4","","4.2","","13.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-16","2010","01","16","","4.7","","-3.7","","0.5","","17.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-17","2010","01","17","","3.4","","-2.0","","0.7","","17.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-18","2010","01","18","","7.6","","-2.2","","2.7","","15.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-19","2010","01","19","","4.8","","-3.4","","0.7","","17.3","","0.0","","","M","","M","","M","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-20","2010","01","20","","3.4","","-2.8","","0.3","","17.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-21","2010","01","21","","4.1","","-2.6","","0.8","","17.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-22","2010","01","22","","4.1","","-6.0","","-1.0","","19.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-23","2010","01","23","","0.3","","-6.8","","-3.3","","21.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-24","2010","01","24","","2.2","","-3.7","","-0.8","","18.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-25","2010","01","25","","4.6","","-2.6","","1.0","","17.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-26","2010","01","26","","4.8","","-4.2","","0.3","","17.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-27","2010","01","27","","2.8","","-6.2","","-1.7","","19.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-28","2010","01","28","","3.1","","-4.1","","-0.5","","18.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-29","2010","01","29","","4.8","","-0.8","","2.0","","16.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-30","2010","01","30","","3.3","","-0.6","","1.4","","16.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-01-31","2010","01","31","","4.8","","-0.4","","2.2","","15.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-02-01","2010","02","01","","4.3","","0.0","","2.2","","15.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-02-02","2010","02","02","","5.0","","0.4","","2.7","","15.3","","0.0","","","M","","M","0.3","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-02-03","2010","02","03","","4.6","","-0.3","","2.2","","15.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-02-04","2010","02","04","","4.3","","-1.9","","1.2","","16.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2010-02-05","2010","02","05","","3.5","","-0.9","","1.3","","16.7","","0.0","","","M","","M","0.8","","","","","","<31",""
