"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.38","49.96","KELOWNA","1123939","2012-01-01","2012","01","01","","0.0","","-5.7","","-2.9","","20.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2012-01-02","2012","01","02","","1.5","","-8.4","","-3.5","","21.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2012-01-03","2012","01","03","","4.2","","-0.7","","1.8","","16.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2012-01-04","2012","01","04","","7.0","","-1.6","","2.7","","15.3","","0.0","","","M","","M","0.3","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2012-01-05","2012","01","05","","8.1","","0.0","","4.1","","13.9","","0.0","","","M","","M","0.5","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2012-01-06","2012","01","06","","4.1","","-3.1","","0.5","","17.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2012-01-07","2012","01","07","","1.0","","-4.6","","-1.8","","19.8","","0.0","","","M","","M","1.3","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2012-01-08","2012","01","08","","2.9","","0.6","","1.8","","16.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2012-01-09","2012","01","09","","6.1","","0.2","","3.2","","14.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2012-01-10","2012","01","10","","2.5","","-7.2","","-2.4","","20.4","","0.0","","","M","","M","0.3","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2012-01-11","2012","01","11","","-2.9","","-11.8","","-7.4","","25.4","","0.0","","","M","","M","","M","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2012-01-12","2012","01","12","","-2.1","","-12.2","","-7.2","","25.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2012-01-13","2012","01","13","","-1.8","","-9.8","","-5.8","","23.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2012-01-14","2012","01","14","","-0.4","","-6.7","","-3.6","","21.6","","0.0","","","M","","M","0.5","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2012-01-15","2012","01","15","","-0.9","","-6.6","","-3.8","","21.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2012-01-16","2012","01","16","","-6.6","","-10.2","","-8.4","","26.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2012-01-17","2012","01","17","","-9.8","","-19.9","","-14.9","","32.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2012-01-18","2012","01","18","","-16.9","","-20.5","","-18.7","","36.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2012-01-19","2012","01","19","","-12.8","","-17.0","","-14.9","","32.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2012-01-20","2012","01","20","","-8.8","","-12.9","","-10.9","","28.9","","0.0","","","M","","M","0.5","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2012-01-21","2012","01","21","","0.7","E","-13.8","E","-6.6","E","24.6","E","0.0","E","","M","","M","1.0","E","","","","M","","M"
