"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.38","49.96","KELOWNA","1123939","2011-01-01","2011","01","01","","-6.6","","-14.5","","-10.6","","28.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2011-01-02","2011","01","02","","-4.4","","-8.1","","-6.3","","24.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2011-01-03","2011","01","03","","-2.9","","-8.4","","-5.7","","23.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2011-01-04","2011","01","04","","-2.2","","-7.5","","-4.9","","22.9","","0.0","","","M","","M","0.3","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2011-01-05","2011","01","05","","-1.1","","-3.6","","-2.4","","20.4","","0.0","","","M","","M","1.3","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2011-01-06","2011","01","06","","0.1","","-1.3","","-0.6","","18.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2011-01-07","2011","01","07","","3.9","","-0.4","","1.8","","16.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2011-01-08","2011","01","08","","2.8","","-4.5","","-0.9","","18.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.38","49.96","KELOWNA","1123939","2011-01-09","2011","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-119.38","49.96","KELOWNA","1123939","2011-01-10","2011","01","10","","-5.3","","-12.6","","-9.0","","27.0","","0.0","","","M","","M","0.0","","","","","","<31",""
