"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.38","49.96","KELOWNA","1123939","2019-01-01","2019","01","01","","0.5","","-4.1","","-1.8","","19.8","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2019-01-02","2019","01","02","","1.3","","-2.0","","-0.4","","18.4","","0.0","","","","","","0.0","","","","24","","35",""
"-119.38","49.96","KELOWNA","1123939","2019-01-03","2019","01","03","","4.5","","0.0","","2.3","","15.7","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2019-01-04","2019","01","04","","8.7","","-2.2","","3.3","","14.7","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2019-01-05","2019","01","05","","2.4","","-2.8","","-0.2","","18.2","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2019-01-06","2019","01","06","","7.7","","-3.7","","2.0","","16.0","","0.0","","","","","","0.2","","","","21","","37",""
"-119.38","49.96","KELOWNA","1123939","2019-01-07","2019","01","07","","4.8","","-7.5","","-1.4","","19.4","","0.0","","","","","","0.0","","","","34","","41",""
"-119.38","49.96","KELOWNA","1123939","2019-01-08","2019","01","08","","-3.6","","-10.4","","-7.0","","25.0","","0.0","","","","","","0.5","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2019-01-09","2019","01","09","","-0.7","","-4.6","","-2.7","","20.7","","0.0","","","","","","0.2","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2019-01-10","2019","01","10","","5.0","","-2.1","","1.5","","16.5","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2019-01-11","2019","01","11","","3.5","","-3.6","","-0.1","","18.1","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2019-01-12","2019","01","12","","1.8","","-2.7","","-0.5","","18.5","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2019-01-13","2019","01","13","","0.8","","-0.6","","0.1","","17.9","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2019-01-14","2019","01","14","","-0.4","","-1.8","","-1.1","","19.1","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2019-01-15","2019","01","15","","-1.7","","-3.1","","-2.4","","20.4","","0.0","","","","","","0.0","","","","","M","","M"
"-119.38","49.96","KELOWNA","1123939","2019-01-16","2019","01","16","","-0.9","","-3.4","","-2.2","","20.2","","0.0","","","","","","0.0","","","","","M","","M"
